url,score,lcp,tti,speedIndex,minimizeMainThreadWork,eliminateRenderBlockingResources,minimizeThirdPartyResourcesMs,minimizeThirdPartyResourcesBytes,efficientlyEncodeImages,serveNextGenImages,properlySizeImages,reduceUnusedCSS,minifyCSS,reduceUnusedJS,minifyJavaScript,enormousNetworkPayloads,greenHosting,CO2WithGreenHosting,CO2WithoutGreenHosting,server,frameworks,libraries,externalServices,cachingTechnologies,securityPractices,performanceOptimizations,backendTechnology
https://www.ichkoche.at/,46,10041,11433,6014,5767,1055,2986,880010,0,0,2030,450,0,2785,0,2163489,0,858,819,nginx,-,-,Generic Fetch API,,strict-transport-security,-,-
http://www.meinjob.at,46,5015,13494,5222,3610,0,216,283303,0,815,0,160,0,1935,0,2016129,1,692,799,"nginx, Next.js",-,-,-,Varnish,"strict-transport-security, x-content-type-options, x-frame-options",-,"Drupal, Express"
https://www.weekend.at/,46,3390,10964,5445,6378,1109,3137,748058,0,0,0,95,0,1575,0,1722593,1,591,701,-,-,-,-,Cache MISS,"strict-transport-security, x-content-type-options, x-frame-options",-,Drupal
http://www.b-m.at,46,8226,4598,3587,872,505,0,1007774,0,650,970,375,0,0,0,1497437,0,594,593,-,-,-,Generic API Endpoint,,-,-,-
http://www.golddiskont.at,46,9707,6697,6566,1068,7113,0,24819,1570,2790,0,1570,520,700,170,1483622,1,509,588,Apache,Joomla!,"Bootstrap, jQuery",-,-,-,-,Joomla
http://www.gefe-bau.at,46,9344,7638,7605,2306,4460,0,46380,1720,2510,0,0,0,0,0,1263459,0,501,501,Apache,-,jQuery,-,-,-,-,-
http://www.dswien.at,46,9229,8516,5811,839,791,-1,-1,0,300,0,150,0,1050,0,1210734,0,480,480,Apache,-,-,-,-,-,-,-
http://www.2g-bau.at,46,9225,6805,5310,686,2728,12,115117,0,450,0,1650,150,450,0,1171703,0,465,465,nginx,-,"Bootstrap, jQuery",-,-,-,-,-
http://www.objektmanagement.at,46,5059,5520,4090,2132,0,38,35841,0,0,0,150,0,0,0,554855,0,220,220,Apache,-,-,-,-,"strict-transport-security, x-content-type-options, x-xss-protection, content-security-policy",-,-
https://www.tuaustria.ac.at/,45,6185,22056,9791,5909,358,1038,3760233,44845,85895,235,1230,0,9060,235,28960395,0,11496,10186,Apache,TYPO3 CMS,-,-,-,x-content-type-options,-,-
http://www.6b47.com,45,9249,4450,4886,2302,0,-1,-1,9450,42300,3300,600,0,825,0,16921811,1,5812,6379,nginx,-,-,-,-,"x-content-type-options, x-frame-options, x-xss-protection",-,-
http://www.jpi.at,45,26986,29528,16505,4775,8828,329,1025875,450,3610,1730,6395,150,8880,225,10212170,1,3507,4467,Apache,WordPress,"Bootstrap, jQuery",Generic API Endpoint,,-,-,WordPress
http://www.viennaimmobilien.com/,45,18472,30270,20728,2186,1061,0,3646984,29514,38566,31899,440,0,783,90,9773355,0,3879,3877,Apache,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.solmax.at,45,35684,38374,26490,22717,19487,0,137738,2481,6095,6776,17930,583,8605,973,8807791,1,3025,3494,Apache,WordPress,jQuery,Generic API Endpoint,,-,-,"WordPress, Joomla"
http://www.kkhotels.com,45,10500,14242,6420,4497,1080,950,1142257,0,0,2375,900,0,5060,0,6287739,1,2159,2495,nginx,Divi,jQuery,Generic API Endpoint,,"strict-transport-security, x-content-type-options, x-frame-options, x-xss-protection",-,WordPress
http://www.gu-haustechnik.at,45,20078,19272,14364,3625,7367,71,435240,80,12095,0,2550,405,3330,650,6119460,1,2102,2429,Apache,-,jQuery,-,-,-,-,WordPress
https://tvheute.at/,45,6542,10528,6021,5471,232,3004,645378,150,11025,7500,90,0,545,0,5179003,0,2055,2123,Microsoft-IIS,-,Bootstrap,-,-,"x-content-type-options, x-frame-options",-,-
http://fettundzucker.at,45,12366,5511,4507,1208,2287,20,321498,940,8915,0,535,80,760,235,4711015,1,1618,1870,Apache,-,jQuery,-,-,-,-,WordPress
https://www.oeamtc.at/,45,7767,21772,6638,4087,4255,57,305267,2890,3270,380,1520,0,7910,0,4170741,0,1655,1659,nginx,-,-,-,"Varnish, Cache HIT","strict-transport-security, x-xss-protection",-,-
http://www.m-gs.at,45,7000,19931,11730,4786,0,1654,779580,0,4325,0,1220,260,7630,575,3958542,0,1465,1571,Apache,WordPress,jQuery,-,-,-,-,WordPress
